geonameid,name,asciiname,state,county,lat,lon,population,feature_code,timezone
5031404,International Falls,International Falls,MN,071,48.60105,-93.41098,6158,PPLA2,America/Chicago
5495292,Truth or Consequences,Truth or Consequences,NM,051,33.1284,-107.25281,6079,PPLA2,America/Denver
5424099,Gunnison,Gunnison,CO,051,38.54582,-106.92532,6076,PPLA2,America/Denver
5516203,Alpine,Alpine,TX,043,30.35862,-103.66206,5952,PPLA2,America/Chicago
5662162,Lewistown,Lewistown,MT,027,47.06247,-109.42824,5874,PPLA2,America/Denver
5694163,Chadron,Chadron,NE,045,42.82942,-102.99991,5775,PPLA2,America/Denver
4246595,Pana,Pana,IL,021,39.38893,-89.08008,5607,PPL,America/Chicago
5070216,Holdrege,Holdrege,NE,137,40.44029,-99.36982,5561,PPLA2,America/Chicago
5543853,Nephi,Nephi,UT,023,39.71023,-111.83632,5560,PPLA2,America/Denver
4676032,Brady,Brady,TX,307,31.13517,-99.33506,5549,PPLA2,America/Chicago
5654391,Glendive,Glendive,MT,021,47.10529,-104.71246,5490,PPLA2,America/Denver
5843495,Worland,Worland,WY,043,44.0169,-107.95537,5372,PPLA2,America/Denver
4501057,Cape May Court House,Cape May Court House,NJ,009,39.08261,-74.82378,5338,PPLA2,America/New_York
5543307,Moab,Moab,UT,019,38.57332,-109.54984,5235,PPLA2,America/Denver
5300830,Kayenta,Kayenta,AZ,017,36.72778,-110.25458,5189,PPL,America/Denver
4901279,Marseilles,Marseilles,IL,099,41.33087,-88.70813,4963,PPL,America/Chicago
4155533,Flagler Beach,Flagler Beach,FL,035,29.47498,-81.127,4869,PPL,America/New_York
5805734,Omak,Omak,WA,047,48.41099,-119.52755,4854,PPL,America/Los_Angeles
5790660,Colville,Colville,WA,065,48.54657,-117.90554,4719,PPLA2,America/Los_Angeles
5445479,Goodland,Goodland,KS,181,39.35083,-101.71017,4457,PPLA2,America/Denver
5541458,Kanab,Kanab,UT,025,37.04749,-112.52631,4394,PPLA2,America/Denver
5583981,American Falls,American Falls,ID,077,42.78602,-112.85444,4321,PPLA2,America/Boise
5710035,West Wendover,West Wendover,NV,007,40.7391,-114.07335,4294,PPL,America/Los_Angeles
4964024,Farmington,Farmington,ME,007,44.67062,-70.15117,4288,PPLA2,America/New_York
4683696,Cotulla,Cotulla,TX,283,28.43693,-99.23503,4216,PPLA2,America/Chicago
5503694,Ely,Ely,NV,033,39.24744,-114.88863,4134,PPLA2,America/Los_Angeles
4093488,Thomasville,Thomasville,AL,025,31.91349,-87.73584,4051,PPL,America/Chicago
5528669,Presidio,Presidio,TX,377,29.56074,-104.37215,3904,PPL,America/Chicago
5446450,Scott City,Scott City,KS,171,38.48252,-100.90709,3838,PPLA2,America/Chicago
5436808,Rocky Ford,Rocky Ford,CO,089,38.05251,-103.72023,3827,PPL,America/Denver
5535484,Blanding,Blanding,UT,037,37.62433,-109.47966,3785,PPL,America/Denver
5259448,Lancaster,Lancaster,WI,043,42.84749,-90.71068,3778,PPLA2,America/Chicago
4188377,Cleveland,Cleveland,GA,311,34.59704,-83.76324,3773,PPLA2,America/New_York
5074259,O'Neill,O'Neill,NE,089,42.45778,-98.64759,3653,PPLA2,America/Chicago
4183305,Blackshear,Blackshear,GA,229,31.30605,-82.24207,3581,PPLA2,America/New_York
5767189,Mobridge,Mobridge,SD,129,45.53722,-100.42791,3466,PPL,America/Chicago
5654320,Glasgow,Glasgow,MT,105,48.19696,-106.63671,3414,PPLA2,America/Denver
5025627,Ely,Ely,MN,137,47.90324,-91.86709,3408,PPL,America/Chicago
5517030,Big Lake,Big Lake,TX,383,31.19154,-101.46039,3315,PPLA2,America/Chicago
5550996,Ajo,Ajo,AZ,019,32.37172,-112.86071,3304,PPL,America/Phoenix
4107823,De Witt,De Witt,AR,001,34.29288,-91.3379,3292,PPL,America/Chicago
5505321,Hawthorne,Hawthorne,NV,021,38.52464,-118.62458,3269,PPLA2,America/Los_Angeles
5677433,Shelby,Shelby,MT,101,48.50526,-111.85697,3268,PPLA2,America/Denver
5594474,Grangeville,Grangeville,ID,049,45.92655,-116.12237,3155,PPLA2,America/Los_Angeles
5600363,McCall,McCall,ID,085,44.91101,-116.09874,3106,PPL,America/Boise
5606275,Salmon,Salmon,ID,059,45.17575,-113.8959,3036,PPLA2,America/Boise
5518214,Canadian,Canadian,TX,211,35.91282,-100.38208,3013,PPLA2,America/Chicago
4984692,Bad Axe,Bad Axe,MI,063,43.80196,-83.00078,3011,PPLA2,America/Detroit
5000625,Manistique,Manistique,MI,153,45.95775,-86.24625,2982,PPLA2,America/Detroit
4959834,Calais,Calais,ME,029,45.18376,-67.27662,2980,PPL,America/New_York
4481427,Nags Head,Nags Head,NC,055,35.95739,-75.62406,2908,PPL,America/New_York
4997238,Iron River,Iron River,MI,071,46.09273,-88.64235,2904,PPL,America/Menominee
5531255,Sonora,Sonora,TX,435,30.56685,-100.64343,2863,PPLA2,America/Chicago
5700344,Valentine,Valentine,NE,031,42.87278,-100.55097,2836,PPLA2,America/Chicago
4332518,Many,Many,LA,085,31.56878,-93.48406,2790,PPLA2,America/Chicago
5716833,Burns,Burns,OR,025,43.58626,-119.0541,2757,PPLA2,America/Los_Angeles
5465650,Dulce,Dulce,NM,039,36.93362,-106.99893,2743,PPL,America/Denver
5829425,Kemmerer,Kemmerer,WY,023,41.79245,-110.53767,2739,PPLA2,America/Denver
5043752,Roseau,Roseau,MN,135,48.84609,-95.76277,2715,PPLA2,America/Chicago
5662190,Libby,Libby,MT,053,48.38829,-115.556,2645,PPLA2,America/Denver
5558829,Alturas,Alturas,CA,049,41.48714,-120.54349,2594,PPLA2,America/Los_Angeles
5274034,Spooner,Spooner,WI,129,45.82245,-91.88934,2586,PPL,America/Chicago
5144375,Whitehall,Whitehall,NY,115,43.55562,-73.40372,2582,PPL,America/New_York
5273224,Silver Lake,Silver Lake,WI,137,44.05526,-89.22623,2480,PPL,America/Chicago
5513795,Tonopah,Tonopah,NV,023,38.06716,-117.23008,2478,PPLA2,America/Los_Angeles
4271159,Eureka,Eureka,KS,073,37.82392,-96.28917,2450,PPLA2,America/Chicago
5441199,Telluride,Telluride,CO,113,37.93749,-107.81229,2399,PPLA2,America/Denver
4287235,Cave City,Cave City,KY,009,37.13672,-85.95692,2394,PPL,America/Chicago
5226824,Chamberlain,Chamberlain,SD,015,43.81083,-99.33066,2386,PPLA2,America/Chicago
4434720,Magnolia,Magnolia,MS,113,31.14323,-90.45871,2371,PPLA2,America/Chicago
5072532,Madison,Madison,NE,119,41.82834,-97.45505,2371,PPLA2,America/Chicago
4740482,Weimar,Weimar,TX,089,29.70301,-96.78053,2161,PPL,America/Chicago
4112430,Glenwood,Glenwood,AR,109,34.32677,-93.55074,2141,PPL,America/Chicago
5526145,Memphis,Memphis,TX,191,34.72478,-100.53401,2138,PPLA2,America/Chicago
5050290,Tracy,Tracy,MN,083,44.23329,-95.61918,2117,PPL,America/Chicago
5058233,Belcourt,Belcourt,ND,079,48.83917,-99.74487,2078,PPL,America/Chicago
5597606,Kellogg,Kellogg,ID,079,47.53826,-116.11933,2069,PPL,America/Los_Angeles
5367846,Lone Pine,Lone Pine,CA,027,36.60626,-118.06462,2035,PPL,America/Los_Angeles
5292912,Dolan Springs,Dolan Springs,AZ,015,35.59194,-114.27329,2033,PPL,America/Phoenix
4403182,Piedmont,Piedmont,MO,223,37.15449,-90.69567,1977,PPL,America/Chicago
4736721,Three Rivers,Three Rivers,TX,297,28.46027,-98.18251,1971,PPL,America/Chicago
4997086,Indian River,Indian River,MI,031,45.41251,-84.61254,1959,PPL,America/Detroit
5532924,Van Horn,Van Horn,TX,109,31.04029,-104.83073,1928,PPLA2,America/Chicago
5428504,Limon,Limon,CO,073,39.26388,-103.69217,1911,PPL,America/Denver
5079887,Superior,Superior,NE,129,40.02085,-98.07004,1884,PPL,America/Chicago
5705957,Lovelock,Lovelock,NV,027,40.17935,-118.47348,1878,PPLA2,America/Los_Angeles
5758413,Vale,Vale,OR,045,43.98211,-117.23823,1833,PPLA2,America/Boise
5030242,Hinckley,Hinckley,MN,115,46.01134,-92.94437,1806,PPL,America/Chicago
5455775,Arroyo Seco,Arroyo Seco,NM,055,36.51669,-105.56918,1785,PPL,America/Denver
