frame_index,time_sec,track_id,x,y,width,height,confidence
279,11.636625,1,1077.72,324.4,116.81,160.3,0.84595
279,11.636625,2,461.82,592.75,186.43,219.75,0.87482
282,11.76175,1,1080.66,317.25,117.91,168.11,0.84919
282,11.76175,2,476.42,578.75,184.02,231.29,0.87016
285,11.886875,1,1074.27,294.86,120.59,164.62,0.82887
285,11.886875,2,487.79,572.01,178.62,231.89,0.88251
288,12.012,1,1076.18,292.12,118.15,169.05,0.84216
288,12.012,2,502.48,556.93,172.7,234.25,0.88432
291,12.137125,1,1077.71,285.65,119.56,176.38,0.84436
291,12.137125,2,499.67,548.42,179.17,251.26,0.88776
294,12.26225,1,1083.08,293.34,113.75,157.87,0.8391
294,12.26225,2,503.62,535.21,180.93,258.69,0.87875
297,12.387375,1,1085.83,288.37,117.56,166.98,0.84552
297,12.387375,2,510.37,525.05,181.87,248.75,0.8894
300,12.5125,1,1088.71,278.02,132.25,181.36,0.83684
300,12.5125,2,504.59,518.37,188.26,253.97,0.88092
303,12.637625,1,1083.63,282.5,115.43,168.61,0.84914
303,12.637625,2,506.34,517.4,182.48,250.38,0.88975
306,12.76275,1,1083.97,290.84,120.06,168.45,0.85037
306,12.76275,2,505.91,514.86,183.47,250.35,0.88941
309,12.887875,1,1078.16,287.24,123.99,178.04,0.84584
309,12.887875,2,505.24,512.72,183.1,251.27,0.88649
312,13.013,1,1084.02,286.23,143.16,180.74,0.82699
312,13.013,2,508.63,511.96,179.27,249.85,0.88896
315,13.138125,1,1082.73,292.23,118.35,166.32,0.84349
315,13.138125,2,503.95,509.64,178.59,252.5,0.87878
318,13.26325,1,1087.67,294.14,113.44,165.33,0.86949
318,13.26325,2,507.22,505.69,180.94,256.06,0.87832
321,13.388375,1,1089.62,292.73,116.51,160.86,0.85759
321,13.388375,2,500.04,497.48,181.81,265.75,0.87986
324,13.5135,1,1097.73,281.07,128.27,186.94,0.86374
324,13.5135,2,508.11,494.45,178.67,253.81,0.87963
327,13.638625,1,1088.84,283.75,115.96,179.07,0.86878
327,13.638625,2,508.7,492.05,184.6,249.94,0.8829
330,13.76375,1,1083.59,288.91,120.37,171.14,0.84355
330,13.76375,2,511.2,492.37,180.6,241.62,0.88595
333,13.888875,1,1091.85,306.79,115.76,160.48,0.8761
333,13.888875,2,503.27,487.3,183.22,237.22,0.87845
336,14.014,1,1085.04,288.77,118.14,172.65,0.86058
336,14.014,2,501.0,485.61,181.11,241.74,0.8766
339,14.139125,1,1087.93,286.67,109.04,157.94,0.84849
339,14.139125,2,501.01,487.32,185.82,236.69,0.8791
342,14.26425,1,1083.22,280.51,114.67,162.89,0.86064
342,14.26425,2,501.82,483.45,189.43,246.03,0.87219
345,14.389375,1,1079.92,269.37,126.4,183.69,0.83877
345,14.389375,2,504.55,485.89,189.09,232.52,0.86504
348,14.5145,1,1071.23,289.98,120.37,179.1,0.83942
348,14.5145,2,509.85,495.16,182.86,208.28,0.83901
351,14.639625,1,1065.62,290.14,126.29,180.24,0.8234
351,14.639625,2,511.8,497.86,179.6,208.05,0.8393
354,14.76475,1,1067.21,291.93,122.39,176.52,0.82987
354,14.76475,2,513.49,496.25,178.2,206.74,0.83455
357,14.889875,1,1068.04,286.89,125.81,187.03,0.83896
357,14.889875,2,513.82,495.43,173.08,204.57,0.84581
360,15.015,1,1068.22,284.44,130.47,188.74,0.84278
360,15.015,2,515.09,494.05,168.37,202.47,0.85076
363,15.140125,1,1075.71,282.98,118.48,180.44,0.84782
363,15.140125,2,490.04,473.88,195.46,242.98,0.8478
366,15.26525,1,1068.36,260.09,120.59,172.83,0.83893
366,15.26525,2,484.34,460.1,199.17,253.28,0.84546
369,15.390375,1,1070.0,258.27,125.43,174.0,0.83042
369,15.390375,2,483.55,454.69,200.88,252.46,0.85722
372,15.5155,1,1071.9,250.17,120.92,188.25,0.83838
372,15.5155,2,480.41,451.23,202.55,250.06,0.85925
375,15.640625,1,1070.34,260.89,133.38,175.02,0.83929
375,15.640625,2,487.8,447.67,195.44,247.44,0.86217
378,15.76575,1,1067.59,296.82,117.24,163.66,0.83309
378,15.76575,2,484.46,444.49,202.53,254.43,0.84437
381,15.890875,1,1076.99,311.92,123.75,151.95,0.82558
381,15.890875,2,503.76,450.82,184.89,229.64,0.8533
384,16.016,1,1066.75,296.28,119.8,173.67,0.84042
384,16.016,2,506.95,451.15,178.0,216.75,0.86349
387,16.141125,1,1056.96,291.18,130.52,178.85,0.84003
387,16.141125,2,498.23,439.84,181.97,240.17,0.87266
390,16.26625,1,1060.12,293.2,127.88,182.6,0.8452
390,16.26625,2,503.97,442.02,185.37,221.58,0.86977
393,16.391375,1,1060.57,296.25,126.68,182.6,0.84307
393,16.391375,2,503.32,436.71,185.67,221.35,0.86038
396,16.5165,1,1062.21,301.73,138.5,180.73,0.84149
396,16.5165,2,486.53,421.69,189.09,244.45,0.86267
399,16.641625,1,1054.69,297.4,118.75,159.98,0.84821
399,16.641625,2,493.56,421.01,182.8,243.02,0.85694
402,16.76675,1,1097.32,301.39,216.89,201.62,0.56556
402,16.76675,2,508.35,427.91,174.2,225.22,0.86858
405,16.891875,1,1046.23,248.32,74.22,122.08,0.81292
405,16.891875,2,494.17,412.43,187.45,249.71,0.86045
408,17.017,1,1032.14,234.63,100.2,124.95,0.82424
408,17.017,2,491.83,400.69,189.11,254.01,0.85665
411,17.142125,1,1034.75,235.07,79.62,118.86,0.75686
411,17.142125,2,491.7,396.61,189.06,258.93,0.86513
414,17.26725,1,1057.97,275.63,151.55,161.26,0.70777
414,17.26725,2,497.42,389.78,184.58,252.53,0.85727
417,17.392375,1,1028.4,228.98,98.85,118.54,0.75894
417,17.392375,2,507.43,379.16,192.4,247.52,0.82915
420,17.5175,1,1032.68,207.17,70.23,109.94,0.77697
420,17.5175,2,512.14,382.12,183.21,246.94,0.85783
423,17.642625,1,1026.03,194.17,95.66,120.91,0.7951
423,17.642625,2,511.85,376.78,183.37,234.12,0.86405
426,17.76775,1,1059.21,211.5,155.08,183.02,0.79859
426,17.76775,2,499.02,367.66,181.76,227.57,0.86305
429,17.892875,1,1081.79,180.1,168.89,188.33,0.7859
429,17.892875,2,496.44,367.99,160.86,227.69,0.88131
432,18.018,1,1102.02,109.56,191.39,209.04,0.79287
432,18.018,2,496.29,360.83,163.91,232.28,0.87308
435,18.143125,1,1100.69,52.7,96.18,128.3,0.75144
435,18.143125,2,503.63,386.4,154.19,215.61,0.86736
438,18.26825,1,1121.63,49.02,69.13,116.4,0.72472
438,18.26825,2,504.04,373.33,182.24,234.78,0.86315
441,18.393375,1,1104.38,146.41,140.51,169.51,0.81356
441,18.393375,2,501.81,364.15,188.44,237.02,0.862
444,18.5185,1,1089.91,151.47,151.0,185.03,0.84006
444,18.5185,2,503.5,361.95,191.78,235.31,0.86544
447,18.643625,1,1064.27,161.98,133.43,175.5,0.8512
447,18.643625,2,506.72,366.48,187.94,232.96,0.87708
450,18.76875,1,1037.85,152.68,138.06,187.85,0.83194
450,18.76875,2,513.33,366.15,186.83,234.79,0.87394
453,18.893875,1,1052.37,191.29,122.62,155.41,0.85548
453,18.893875,2,506.02,353.4,202.87,255.24,0.86112
456,19.019,1,1056.05,181.99,141.76,191.84,0.85089
456,19.019,2,506.03,342.44,205.23,269.06,0.86242
459,19.144125,1,1048.1,192.68,120.22,177.47,0.85238
459,19.144125,2,516.45,347.02,201.68,256.82,0.87027
462,19.26925,1,1037.23,221.77,129.42,183.35,0.84776
462,19.26925,2,538.1,362.91,183.43,226.07,0.85454
465,19.394375,1,1035.69,219.98,128.44,171.58,0.83801
465,19.394375,2,542.6,358.28,185.67,235.53,0.85766
468,19.5195,1,1033.48,224.24,127.76,171.08,0.83828
468,19.5195,2,539.44,353.5,196.06,239.8,0.85784
471,19.644625,1,1025.22,219.89,131.81,190.53,0.83644
471,19.644625,2,546.49,357.84,187.54,234.27,0.86493
474,19.76975,1,1032.39,214.16,131.46,190.81,0.83795
474,19.76975,2,553.69,344.16,184.16,235.06,0.84638
477,19.894875,1,1028.49,201.55,149.21,202.7,0.84449
