z_mm,normalized_temperature_rise
5.400000000000000355e+00,4.389980140152684451e-01
5.410000000000001030e+00,4.419396439456150794e-01
5.419999999999999929e+00,4.448885322197999592e-01
5.430000000000000604e+00,4.478445646358151233e-01
5.440000000000000391e+00,4.508076257002531229e-01
5.450000000000001066e+00,4.537775986333689726e-01
5.460000000000000853e+00,4.567543653743514898e-01
5.469999999999999751e+00,4.597378065868087393e-01
5.480000000000000426e+00,4.627278016644650327e-01
5.490000000000000213e+00,4.657242287370709222e-01
5.500000000000000888e+00,4.687269646765284681e-01
5.509999999999999787e+00,4.717358851032262823e-01
5.520000000000000462e+00,4.747508643925936189e-01
5.530000000000000249e+00,4.777717756818626871e-01
5.540000000000000924e+00,4.807984908770501220e-01
5.549999999999999822e+00,4.838308806601484546e-01
5.560000000000000497e+00,4.868688144965356845e-01
5.570000000000000284e+00,4.899121606425949071e-01
5.580000000000000959e+00,4.929607861535525992e-01
5.590000000000000746e+00,4.960145568915264036e-01
5.600000000000000533e+00,4.990733375337914057e-01
5.610000000000000320e+00,5.021369915812559093e-01
5.620000000000000995e+00,5.052053813671549820e-01
5.630000000000000782e+00,5.082783680659529457e-01
5.639999999999999680e+00,5.113558117024639138e-01
5.650000000000000355e+00,5.144375711611806068e-01
5.660000000000000142e+00,5.175235041958171633e-01
5.670000000000000817e+00,5.206134674390663353e-01
5.679999999999999716e+00,5.237073164125627400e-01
5.690000000000000391e+00,5.268049055370633837e-01
5.700000000000000178e+00,5.299060881428331315e-01
5.710000000000000853e+00,5.330107164802441178e-01
5.720000000000000639e+00,5.361186417305812135e-01
5.730000000000000426e+00,5.392297140170594361e-01
5.740000000000000213e+00,5.423437824160446397e-01
5.750000000000000888e+00,5.454606949684867034e-01
5.760000000000000675e+00,5.485802986915537804e-01
5.770000000000000462e+00,5.517024395904760459e-01
