wavelength_nm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1548.3529,nan,-39.842105,-38.759398,nan,-38.413534,nan,nan,-38.263158
1548.3616,nan,-39.676692,-38.834586,nan,-38.443609,nan,nan,-38.293233
1548.3702,nan,-38.135338,-38.984962,nan,-38.473684,nan,nan,-38.315789
1548.3789,nan,-37.992481,-39.052632,nan,-38.488722,nan,nan,-38.353383
1548.3875,nan,-37.887218,-39.18797,nan,-38.511278,nan,-41.052632,-38.368421
1548.3962,nan,-37.781955,-39.353383,nan,-38.526316,nan,nan,-38.383459
1548.4048,nan,-37.714286,-39.488722,nan,-38.541353,nan,nan,-38.43609
1548.4135,nan,-37.541353,-39.548872,-38.706767,-38.56391,nan,nan,-38.451128
1548.4221,nan,-37.330827,-39.556391,-38.759398,nan,nan,nan,-38.488722
1548.4308,nan,-37.255639,-39.571429,-38.834586,nan,nan,nan,-38.533835
1548.4394,nan,-37.18797,-39.548872,-38.894737,nan,nan,nan,-38.578947
1548.4481,nan,-37.157895,-39.496241,-39.007519,nan,nan,nan,-38.609023
