z_mm,exact_fin_beer_lambert_rise_K,local_beer_lambert_rise_K,effective_hotspot_rise_K
4.1117598,24.286806,21.160267,268.47314
4.1201001,24.13602,21.028892,267.27888
4.1284404,23.986169,20.898332,266.08481
4.1367807,23.83725,20.768584,264.89098
4.1451209,23.689254,20.63964,263.69744
4.1534612,23.542178,20.511498,262.50422
4.1618015,23.396015,20.38415,261.31136
4.1701418,23.250759,20.257594,260.11893
4.1784821,23.106405,20.131823,258.92694
4.1868224,22.962947,20.006833,257.73545
4.1951626,22.82038,19.882619,256.54451
4.2035029,22.678698,19.759177,255.35414
4.2118432,22.537895,19.6365,254.1644
4.2201835,22.397967,19.514586,252.97533
4.2285238,22.258908,19.393428,251.78696
4.2368641,22.120712,19.273023,250.59934
4.2452043,21.983374,19.153365,249.41251
4.2535446,21.846888,19.03445,248.2265
4.2618849,21.71125,18.916273,247.04137
4.2702252,21.576454,18.79883,245.85716
4.2785655,21.442495,18.682116,244.67389
4.2869058,21.309368,18.566127,243.49161
4.295246,21.177067,18.450857,242.31037
4.3035863,21.045588,18.336304,241.13019
4.3119266,20.914925,18.222462,239.95113
4.3202669,20.785073,18.109326,238.77321
4.3286072,20.656027,17.996893,237.59649
4.3369475,20.527783,17.885158,236.42098
4.3452877,20.400335,17.774117,235.24675
4.353628,20.273678,17.663765,234.07381
4.3619683,20.147807,17.554098,232.90222
4.3703086,20.022718,17.445112,231.732
4.3786489,19.898406,17.336803,230.5632
4.3869892,19.774865,17.229166,229.39585
4.3953294,19.652091,17.122198,228.22999
4.4036697,19.53008,17.015893,227.06565
4.41201,19.408826,16.910249,225.90288
4.4203503,19.288325,16.80526,224.7417
4.4286906,19.168572,16.700924,223.58216
4.4370309,19.049562,16.597235,222.42429
4.4453711,18.931292,16.49419,221.26812
4.4537114,18.813755,16.391784,220.11369
4.4620517,18.696949,16.290015,218.96103
4.470392,18.580867,16.188877,217.81019
4.4787323,18.465507,16.088367,216.66118
4.4870726,18.350862,15.988481,215.51405
4.4954128,18.23693,15.889216,214.36883
4.5037531,18.123704,15.790566,213.22556
4.5120934,18.011182,15.692529,212.08426
4.5204337,17.899358,15.595101,210.94497
4.528774,17.788229,15.498278,209.80773
4.5371143,17.677789,15.402056,208.67255
4.5454545,17.568035,15.306431,207.53949
4.5537948,17.458963,15.2114,206.40856
4.5621351,17.350568,15.116959,205.2798
4.5704754,17.242846,15.023104,204.15324
4.5788157,17.135792,14.929832,203.02891
4.587156,17.029403,14.837139,201.90684
4.5954962,16.923675,14.745021,200.78707
4.6038365,16.818603,14.653476,199.66962
4.6121768,16.714184,14.562499,198.55452
4.6205171,16.610412,14.472086,197.4418
4.6288574,16.507285,14.382235,196.33149
4.6371977,16.404799,14.292942,195.22362
4.6455379,16.302948,14.204204,194.11822
4.6538782,16.20173,14.116016,193.01531
4.6622185,16.101141,14.028375,191.91493
4.6705588,16.001176,13.941279,190.8171
4.6788991,15.901831,13.854724,189.72185
4.6872394,15.803103,13.768706,188.6292
4.6955796,15.704989,13.683222,187.53919
4.7039199,15.607483,13.598268,186.45184
4.7122602,15.510583,13.513843,185.36717
4.7206005,15.414284,13.429941,184.28521
4.7289408,15.318584,13.34656,183.20599
4.7372811,15.223477,13.263697,182.12954
4.7456214,15.128961,13.181348,181.05587
4.7539616,15.035032,13.099511,179.98501
4.7623019,14.941686,13.018182,178.91699
4.7706422,14.848919,12.937357,177.85183
4.7789825,14.756729,12.857035,176.78956
4.7873228,14.66511,12.777211,175.73019
4.7956631,14.574061,12.697883,174.67376
4.8040033,14.483577,12.619047,173.62028
4.8123436,14.393654,12.540701,172.56978
4.8206839,14.30429,12.462841,171.52227
4.8290242,14.215481,12.385465,170.47779
4.8373645,14.127223,12.308568,169.43635
4.8457048,14.039513,12.23215,168.39798
4.854045,13.952348,12.156206,167.36269
4.8623853,13.865724,12.080733,166.33051
4.8707256,13.779638,12.005729,165.30146
4.8790659,13.694086,11.93119,164.27555
4.8874062,13.609065,11.857115,163.25281
4.8957465,13.524572,11.783499,162.23326
4.9040867,13.440604,11.71034,161.21692
4.912427,13.357157,11.637636,160.2038
4.9207673,13.274228,11.565383,159.19393
4.9291076,13.191814,11.493578,158.18731
4.9374479,13.109912,11.422219,157.18398
4.9457882,13.028518,11.351304,156.18395
4.9541284,12.947629,11.280828,155.18724
