wavelength_nm,power_0_mW_dbm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1546.1594,-43.991974,-43.945994,-43.958333,-43.978632,-43.963409,-43.987889,-43.981086,-43.968971,-43.970981
1546.1625,-43.993548,-43.945006,-43.9597,-43.97459,-43.961942,-43.990373,-43.984345,-43.971953,-43.974215
1546.1656,-43.993646,-43.945343,-43.961939,-43.970643,-43.96127,-43.992279,-43.987327,-43.975268,-43.977662
1546.1688,-43.992239,-43.946995,-43.964937,-43.966985,-43.96143,-43.99349,-43.989867,-43.978744,-43.981142
1546.1719,-43.989386,-43.949879,-43.968535,-43.963794,-43.962416,-43.993924,-43.991817,-43.982197,-43.984468
1546.175,-43.98523,-43.953844,-43.972542,-43.961232,-43.964179,-43.993536,-43.993061,-43.98544,-43.987461
1546.1781,-43.97999,-43.958677,-43.97674,-43.959426,-43.966634,-43.992327,-43.993517,-43.988299,-43.989955
1546.1813,-43.973948,-43.964112,-43.980898,-43.958468,-43.969655,-43.990339,-43.993143,-43.990612,-43.991809
1546.1844,-43.967435,-43.969847,-43.984783,-43.958411,-43.973089,-43.987655,-43.991942,-43.992248,-43.992911
1546.1875,-43.960809,-43.975554,-43.988169,-43.959258,-43.976758,-43.984398,-43.989958,-43.993107,-43.99319
1546.1906,-43.954439,-43.980902,-43.990858,-43.960968,-43.980472,-43.98072,-43.987277,-43.99313,-43.992617
1546.1937,-43.948678,-43.985573,-43.992681,-43.963458,-43.984032,-43.976796,-43.984024,-43.9923,-43.991205
1546.1969,-43.943847,-43.989279,-43.993515,-43.966601,-43.98725,-43.972816,-43.980353,-43.990645,-43.989013
1546.2,-43.940219,-43.99178,-43.99329,-43.970235,-43.989949,-43.968976,-43.976441,-43.988237,-43.986139
1546.2031,-43.937999,-43.992901,-43.991989,-43.974173,-43.991981,-43.965464,-43.972479,-43.985186,-43.982719
1546.2062,-43.937316,-43.992538,-43.989655,-43.978209,-43.993228,-43.962454,-43.968662,-43.981638,-43.978916
1546.2094,-43.938213,-43.990672,-43.986385,-43.982128,-43.993616,-43.960096,-43.965179,-43.977762,-43.974916
1546.2125,-43.940646,-43.987363,-43.982328,-43.985722,-43.993112,-43.958509,-43.962204,-43.97375,-43.970914
1546.2156,-43.944485,-43.982755,-43.977678,-43.988795,-43.991732,-43.957774,-43.959885,-43.969798,-43.967108
1546.2188,-43.949518,-43.977066,-43.972661,-43.991176,-43.989536,-43.957929,-43.958339,-43.966102,-43.963685
1546.2219,-43.955464,-43.970573,-43.967523,-43.992733,-43.98663,-43.958968,-43.957645,-43.962844,-43.960815
1546.225,-43.961986,-43.963603,-43.962522,-43.993371,-43.983155,-43.960843,-43.957841,-43.960187,-43.958641
1546.2281,-43.96871,-43.956509,-43.957907,-43.993047,-43.979283,-43.963463,-43.958919,-43.958263,-43.957271
1546.2313,-43.975244,-43.949656,-43.953913,-43.991765,-43.975207,-43.9667,-43.960829,-43.957169,-43.956775
1546.2344,-43.981201,-43.9434,-43.950742,-43.989584,-43.971133,-43.970393,-43.963479,-43.956962,-43.95718
1546.2375,-43.986222,-43.938064,-43.948557,-43.986606,-43.967266,-43.97436,-43.966741,-43.957654,-43.958468
1546.2406,-43.989997,-43.933929,-43.947469,-43.982978,-43.9638,-43.978403,-43.970457,-43.959214,-43.96058
1546.2438,-43.992283,-43.931214,-43.947539,-43.978883,-43.960911,-43.982322,-43.974443,-43.961569,-43.963414
1546.2469,-43.992923,-43.930063,-43.948765,-43.974525,-43.958745,-43.985921,-43.978505,-43.964605,-43.966834
1546.25,-43.991851,-43.930544,-43.951089,-43.970126,-43.957412,-43.989022,-43.982443,-43.968178,-43.970677
1546.2531,-43.989102,-43.932635,-43.954397,-43.965907,-43.956982,-43.991472,-43.986066,-43.972115,-43.974757
1546.2562,-43.984808,-43.936233,-43.958522,-43.962084,-43.957477,-43.993151,-43.989197,-43.976227,-43.978879
1546.2594,-43.979193,-43.941154,-43.963257,-43.958849,-43.958875,-43.993982,-43.991686,-43.980316,-43.982846
1546.2625,-43.972556,-43.947143,-43.968361,-43.956368,-43.96111,-43.993931,-43.993418,-43.984189,-43.98647
1546.2656,-43.965259,-43.953883,-43.973573,-43.954767,-43.964071,-43.99301,-43.994315,-43.987662,-43.989584
1546.2687,-43.957704,-43.961018,-43.978627,-43.954128,-43.967615,-43.991276,-43.994346,-43.990575,-43.992045
1546.2719,-43.950307,-43.968162,-43.983261,-43.954487,-43.971567,-43.988829,-43.993523,-43.992797,-43.993748
1546.275,-43.94348,-43.974929,-43.987237,-43.955826,-43.975734,-43.985806,-43.991903,-43.994235,-43.994626
1546.2781,-43.937603,-43.980946,-43.99035,-43.958083,-43.979911,-43.982371,-43.989584,-43.994835,-43.994657
1546.2812,-43.933006,-43.985879,-43.992442,-43.961146,-43.983896,-43.978709,-43.986699,-43.994591,-43.993863
1546.2844,-43.929947,-43.989452,-43.993407,-43.964867,-43.987496,-43.975016,-43.983411,-43.993538,-43.992307
1546.2875,-43.928603,-43.991459,-43.993202,-43.969062,-43.99054,-43.971487,-43.979899,-43.991753,-43.990094
1546.2906,-43.929054,-43.991782,-43.991845,-43.973526,-43.992887,-43.968305,-43.976353,-43.98935,-43.987357
1546.2938,-43.931284,-43.990395,-43.989415,-43.978041,-43.994435,-43.965637,-43.972961,-43.986475,-43.984259
1546.2969,-43.935174,-43.987367,-43.986051,-43.982389,-43.995123,-43.963619,-43.969904,-43.983294,-43.980974
1546.3,-43.940513,-43.982856,-43.981938,-43.98636,-43.994937,-43.962354,-43.967339,-43.979987,-43.977686
1546.3031,-43.947004,-43.977105,-43.977302,-43.989768,-43.993908,-43.961905,-43.965398,-43.976736,-43.974575
1546.3063,-43.95428,-43.970424,-43.972394,-43.992455,-43.992113,-43.962296,-43.964181,-43.973719,-43.971808
1546.3094,-43.961925,-43.963173,-43.967478,-43.994306,-43.989666,-43.963506,-43.963747,-43.971095,-43.96953
1546.3125,-43.969495,-43.955744,-43.962817,-43.99525,-43.986715,-43.965473,-43.964116,-43.969004,-43.967859
1546.3156,-43.976542,-43.948535,-43.958658,-43.995265,-43.983431,-43.9681,-43.965268,-43.967551,-43.966881
1546.3187,-43.982641,-43.941935,-43.955219,-43.994378,-43.980002,-43.971257,-43.967143,-43.966811,-43.966642
1546.3219,-43.987417,-43.936295,-43.952681,-43.992665,-43.976617,-43.974789,-43.969646,-43.966817,-43.967152
1546.325,-43.990563,-43.931917,-43.951175,-43.990243,-43.973462,-43.978527,-43.972652,-43.967566,-43.96838
1546.3281,-43.991867,-43.929035,-43.950778,-43.987266,-43.970705,-43.982294,-43.976014,-43.969014,-43.97026
1546.3312,-43.991217,-43.927802,-43.951511,-43.983914,-43.968492,-43.985914,-43.979569,-43.971086,-43.972696
1546.3344,-43.988619,-43.928285,-43.953333,-43.980383,-43.966937,-43.989223,-43.983149,-43.973674,-43.975562
1546.3375,-43.984189,-43.93046,-43.956152,-43.976876,-43.966118,-43.99208,-43.986589,-43.976647,-43.978716
1546.3406,-43.978154,-43.934214,-43.959821,-43.973589,-43.966072,-43.994369,-43.989734,-43.979857,-43.982006
1546.3438,-43.970833,-43.93935,-43.964154,-43.970701,-43.966797,-43.996006,-43.992452,-43.983149,-43.985273
1546.3469,-43.962624,-43.945599,-43.96893,-43.96837,-43.968249,-43.996947,-43.994636,-43.986369,-43.988368
1546.35,-43.953975,-43.95263,-43.973909,-43.966716,-43.97035,-43.997186,-43.99621,-43.989368,-43.991155
1546.3531,-43.945364,-43.960072,-43.978844,-43.965823,-43.972987,-43.996753,-43.997134,-43.992018,-43.993519
1546.3563,-43.937268,-43.96753,-43.983493,-43.965732,-43.976023,-43.995714,-43.997405,-43.994212,-43.99537
1546.3594,-43.930138,-43.974611,-43.987633,-43.96644,-43.979304,-43.994167,-43.997055,-43.995871,-43.996653
1546.3625,-43.924371,-43.98094,-43.991072,-43.967903,-43.982668,-43.992232,-43.996147,-43.99695,-43.997342
1546.3656,-43.920294,-43.986188,-43.993662,-43.970037,-43.985953,-43.990046,-43.994774,-43.997437,-43.997447
1546.3688,-43.918137,-43.990085,-43.9953,-43.972722,-43.989004,-43.987753,-43.993049,-43.997351,-43.99701
1546.3719,-43.918029,-43.992441,-43.995943,-43.975814,-43.991688,-43.985498,-43.991099,-43.996744,-43.996098
1546.375,-43.919985,-43.993152,-43.9956,-43.97915,-43.993894,-43.983417,-43.989058,-43.995695,-43.994805
1546.3781,-43.923904,-43.99221,-43.994336,-43.982558,-43.995542,-43.981627,-43.987056,-43.9943,-43.993238
1546.3812,-43.929575,-43.989702,-43.992265,-43.985866,-43.996587,-43.980226,-43.985217,-43.992673,-43.991516
1546.3844,-43.936685,-43.985801,-43.989546,-43.988916,-43.997019,-43.979283,-43.983645,-43.990934,-43.989757
1546.3875,-43.944836,-43.980761,-43.986366,-43.991567,-43.996864,-43.978838,-43.982423,-43.9892,-43.988077
1546.3906,-43.953562,-43.974896,-43.982935,-43.993705,-43.996179,-43.978898,-43.981611,-43.987582,-43.986576
1546.3937,-43.962356,-43.968564,-43.979469,-43.995251,-43.99505,-43.979439,-43.981237,-43.986177,-43.985339
1546.3969,-43.970701,-43.962143,-43.976181,-43.996162,-43.993585,-43.980412,-43.981302,-43.98506,-43.984427
1546.4,-43.978092,-43.956012,-43.973266,-43.996434,-43.991905,-43.98174,-43.981777,-43.984284,-43.983877
1546.4031,-43.984073,-43.950528,-43.97089,-43.996102,-43.990137,-43.983329,-43.98261,-43.983876,-43.983699
1546.4062,-43.988263,-43.946007,-43.969183,-43.995232,-43.988408,-43.985075,-43.983727,-43.983835,-43.983876
1546.4094,-43.990379,-43.942704,-43.968234,-43.993923,-43.986832,-43.986865,-43.985041,-43.984137,-43.984368
